threshold_kcal,n_energy_residues,n_geom_residues,n_overlap,precision_vs_geom,recall_vs_geom,F1_vs_geom,fraction_abs_energy_explained
0.5,73,97,46,0.6301369863013698,0.4742268041237113,0.5411764705882353,0.8402800436928062
0.75,67,97,40,0.5970149253731343,0.41237113402061853,0.48780487804878053,0.8196903108695897
1.0,49,97,33,0.673469387755102,0.3402061855670103,0.452054794520548,0.7228587905771463
1.25,31,97,26,0.8387096774193549,0.26804123711340205,0.40624999999999994,0.5983745884568441
1.5,22,97,21,0.9545454545454546,0.21649484536082475,0.3529411764705882,0.5259196222798995
2.0,17,97,17,1.0,0.17525773195876287,0.2982456140350877,0.4780146425825514
3.0,9,97,9,1.0,0.09278350515463918,0.16981132075471697,0.35851452559104197
